cosmote;094493766;16,20
ουτοπία δ. τζανάκης & σια ο.ε;082283077;15,00
carfourre;999842977;8,70
cosmote;094493766;25,840
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;23,990
chinavasion whole sales site;chinavasi;45,60
goodbudget-ebay seller;goodbudg;5,980
sales d.e edwards ebay seller;salesf;44,340
τεχνοπολις;999981756;3,00
κουμουλας αε βενζιναδικο;999678050;20,00
carfourre;999842977;6,980
οτε;094019245;62,00
παγκρήτια τράπεζα;096121548;161,00
lidl;093683423;20,550
grand πιτσαρία;998864289;9,90
carfourre;999842977;10,10
haagen dazs ηρακλείου;998089766;10,80
creperie haris;998784892;20,40
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;49,80
cosmote;094493766;25,070
cosmote;094493766;14,230
ψιμοπουλάκης δημήτρης-τζάκια;045643707;200,00
carfourre;999842977;2,00
makro;094241249;111,680
κουμουλας αε βενζιναδικο;999678050;20,00
alex pak;094231385;5,050
dia;998163111;3,580
ελτα;094026421;1,20
δεη;090000045;44,50
praktiker;094317955;18,280
μαρνελος-μοτο μοτο;038267535;15,00
praktiker;094317955;96,60
ψιμοπουλάκης δημήτρης-τζάκια;045643707;2000,00
cosmos center-κ. σκουτελης & σια ο.ε;998293741;65,00
dia;998163111;11,650
dia;998163111;3,150
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;81,60
παγκρήτια τράπεζα;096121548;160,10
carfourre;999842977;25,090
κρεωπολείο σταθμός-αφοι φορτετσανάκη οε;081181296;33,790
κουμουλας αε βενζιναδικο;999678050;20,00
lidl;093683423;16,450
makro;094241249;68,520
dia;998163111;1,220
lidl;093683423;7,880
carfourre;999842977;17,140
νικηφόρος μιχαήλ-ψιλικά;037789690;2,00
ψιμοπουλάκης δημήτρης-τζάκια;045643707;500,00
cosmote;094493766;25,00
cosmote;094493766;14,750
dia;998163111;3,850
wash experts;998090095;20,00
carfourre;999842977;15,00
carfourre;999842977;21,50
κουμουλας αε βενζιναδικο;999678050;20,00
κρητικός φούρνος αεβε;082462123;14,30
κουμουλας αε βενζιναδικο;999678050;20,00
ελτα;094026421;1,30
παγκρήτια τράπεζα;096121548;160,10
grand πιτσαρία;998864289;6,00
οτε;094019245;51,50
carfourre;999842977;37,990
carfourre;999842977;9,610
dia;998163111;2,10
κουμουλας αε βενζιναδικο;999678050;20,00
amazon;998770297;24,670
cosmos center-κ. σκουτελης & σια ο.ε;998293741;3,50
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00
plus4u;998299315;55,20
lidl;093683423;33,720
κουμουλας αε βενζιναδικο;999678050;20,00
δεη;090000045;53,50
cosmote;094493766;15,270
cosmote;094493766;12,860
carfourre;999842977;47,470
carfourre;999842977;15,640
ελτα;094026421;1,00
κουμουλας αε βενζιναδικο;999678050;15,00
minoan lines;094049145;38,50
3ix;3ix;8,520
παπασωτηρίου βιβλιοπωλείο;094397477;8,950
lidl;093683423;16,50
ξενοδοχείο stanley;094013290;120,00
village cinemas;094504693;9,50
κολομβου μονοπροσωπη επε-αναψυκτηριο;099378473;1,950
ξενοδοχείο stanley;094013290;13,50
οασα;oasa;1,40
οασα;oasa;1,40
minoan lines;094049145;19,20
αικατερινη νικα-καφενειο;035259740;3,00
αικατερινη νικα-καφενειο;035259740;5,00
αικατερινη νικα-καφενειο;035259740;10,00
carfourre;999842977;10,650
οασα;oasa;4,00
ισηγονης γεωργιος καφε εστιατοριο;014274507;8,50
αφοι γλεντζακη επε everest;999962477;3,60
αφοι γλεντζακη επε everest;999962477;2,70
superfast ferries (attica ferries m.c);998047751;1,30
superfast ferries (attica ferries m.c);998047751;10,10
superfast ferries (attica ferries m.c);998047751;10,00
superfast ferries (attica ferries m.c);998047751;19,00
afisorama;036746575;2,70
σερραικον μπουγατσα-πιτσα;042376865;2,00
αριάδνη σουπερ μαρκετ;998865815;13,970
παγκρήτια τράπεζα;096121548;160,10
κουμουλας αε βενζιναδικο;999678050;20,00
ουτοπία δ. τζανάκης & σια ο.ε;082283077;5,50
dia;998163111;5,940
dia;998163111;12,140
dia;998163111;2,910
κουμουλας αε βενζιναδικο;999678050;20,00
dia;998163111;3,070
sell-trade-ebay;selltrad;10,110
κουμουλας αε βενζιναδικο;999678050;20,00
κουμουλας αε βενζιναδικο;999678050;22,00
απλαδά αριστέα σουπερ μάρκετ;047622387;3,70
cosmote;094493766;5,640
κουμουλας αε βενζιναδικο;999678050;15,50
cosmote;094493766;15,00
τεχνοπολις;999981756;10,00
carfourre;999842977;19,30
thesporshq-skini-ebay;thesporsh;46,260
dia;998163111;13,640
κουμουλας αε βενζιναδικο;999678050;18,00
κοτονέον;047217161;7,20
lidl;093683423;11,270
οτε;094019245;51,00
amazon;998770297;145,280
παγκρήτια τράπεζα;096121548;160,780
carfourre;999842977;45,760
wash experts;998090095;20,00
ελτα;094026421;1,270
dia;998163111;3,570
δεη;090000045;128,050
μινεττα ασφαλιστική;094040925;108,840
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,470
τεχνοπολις;999981756;7,00
cosmote;094493766;14,230
cosmote;094493766;15,00
carfourre;999842977;56,170
δονταδάκης αντώνιος-βιβλιοπωλείο;013750008;3,70
κουμουλας αε βενζιναδικο;999678050;12,00
αριάδνη σουπερ μαρκετ;998865815;1,420
πρατηριο-ρωμανια αικατερινη;041302497;15,020
πλαισιο;094222211;15,00
lidl;093683423;10,170
κουμουλας αε βενζιναδικο;999678050;10,00
yacht-cafe;999270866;2,50
peackocks;999992899;34,50
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,890
απλαδάς-ζαχαροπλαστείο;028112578;1,70
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;5,170
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;16,370
shell;094475066;24,00
τραντας περίπτερο;103819640;3,20
παγκρήτια τράπεζα;096121548;160,780
συνεταιριστική ασφαλιστική αεεγα;094065956;302,50
chinavasion whole sales site;chinavasi;85,080
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,70
δευαη;090030037;64,00
cosmote;094493766;15,00
cosmote;094493766;13,910
easyjet;easyjet;302,410
easyjet;easyjet;80,00
amazon;998770297;17,460
κουμουλας αε βενζιναδικο;999678050;20,00
europcar;eurocar;114,00
συνεταιριστική ασφαλιστική αεεγα;094065956;302,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;3,850
περίπτερο τσαλίχης κωνσταντίνος;125587385;3,20
τεχνοπολις;999981756;7,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;18,180
cafe-heaven κοντογιάννη γεωργία;103822784;11,50
grand πιτσαρία;998864289;6,00
κουμουλας αε βενζιναδικο;999678050;15,00
τραντας περίπτερο;103819640;3,30
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,680
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,80
εαπ;090207683;700,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,30
παγκρήτια τράπεζα;096121548;160,780
cosmote;094493766;5,40
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,80
κουμουλας αε βενζιναδικο;999678050;20,00
creta cinemas-odeon talos;998643653;8,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;13,390
κουμουλας αε βενζιναδικο;999678050;30,00
τραντας περίπτερο;103819640;16,00
κουμουλας αε βενζιναδικο;999678050;20,00
ερμης αεμεε-βενζινάδικο;094025320;20,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
cosmote;094493766;15,00
cosmote;094493766;18,110
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,80
οτε;094019245;75,50
δεη;090000045;72,130
ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;4,450
κυπριωτάκη ειρήνη-mountain club;047214620;5,00
κάμπινγκ κουτσουνάρι-μαρία χριστάκη;042008177;29,00
μινι μάρκετ-κουτσουνάρι;045249175;3,950
κάμπινγκ κουτσουνάρι-μαρία χριστάκη;042008177;3,40
κουμουλας αε βενζιναδικο;999678050;34,20
αναψυκτήριο-μπορμπουδάκη χριστ;041978958;5,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;20,090
qualitystuf-ac-adapter;qualityst;6,660
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00
5η εποχή τέχνης-θίασος;997956856;15,00
πανάγος πουλακίδης επε-βιοτεχνία παγωτού;998217640;4,50
κουκουβάγια-καφετέρια-ζαχαροπλαστείο;997678692;15,80
κουκουβάγια-καφετέρια-ζαχαροπλαστείο;997678692;21,60
κουκουβάγια-καφετέρια-ζαχαροπλαστείο;997678692;6,20
κουμουλας αε βενζιναδικο;999678050;20,00
χαλκιαδάκης σουπερμάρκετ;094113461;5,090
κουμουλας αε βενζιναδικο;999678050;20,00
παγκρήτια τράπεζα;096121548;2000,00
φεκ;φεκ;12,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
περίπτερο τσαλίχης κωνσταντίνος;125587385;2,80
κουμουλας αε βενζιναδικο;999678050;12,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;2,80
carfourre;999842977;4,470
γάμοι;γάμοι;40,00
asian food α.ε (noodle bar);997791523;8,30
κουμουλας αε βενζιναδικο;999678050;18,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;3,950
telecom-world;telecom-w;3,510
skype;skype;13,560
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
cosmote;094493766;15,480
cosmote;094493766;15,00
γάμοι;γάμοι;40,00
κουμουλας αε βενζιναδικο;999678050;20,00
κουμουλας αε βενζιναδικο;999678050;20,00
orange uk;771592016;5,64999999999999950
orange uk;771592016;11,2999999999999990
lidl;093683423;9,090
news cafe;998635179;5,00
χρυσοχοείο αλεξάκης γεώργιος;013612644;120,00
κουμουλας αε βενζιναδικο;999678050;20,00
carfourre;999842977;4,790
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,90
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;3,910
lidl;093683423;6,560
la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;5,80
καστελάκη-εμπόριο τροφίμων;076662257;2,490
πετράκης μίνι μάρκετ;103506751;1,280
οτε;094019245;70,00
παγκρήτια τράπεζα;096121548;109,260
carfourre;999842977;7,030
la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;8,40
cosmote;094493766;15,00
cosmote;094493766;15,320
δεη;090000045;95,00
δεη;090000045;100,530
νικολαιδης λουκας-περιπτερο αεροδρομιο;032990140;0,50
historic scotland (urquhart castle);historic;8,2511999999999990
whsmith retail (gatwick airport);238554836;12,9383399999999980
Garfunkels (Gatwick);garfunkel;17,740080
waitrose supermarket (warwick);685417211;3,15149999999999950
cresent hotel reading;crescent;126,059999999999990
loch ness exhibition;lochnesex;29,2115399999999960
υπουργείο οικονομικών;υπ.οικον;187,430
κουμουλας αε βενζιναδικο;999678050;20,00
whsmith retail (gatwick airport);238554836;1,380
whsmith retail (gatwick airport);238554836;5,73850
the loch ness centre drumnadrocht;297420731;7,4750
southbound forecourt services westmorland ltd;859709174;34,81050
sainburys;660454836;4,830
sainburys;660454836;5,2324999999999990
shell uk ltd;235763255;46,00
millies cookies-marks & spencer;884257978;3,43850
millies cookies-marks & spencer;884257978;4,02499999999999950
morrisons supermarket;343475355;7,5209999999999990
west trends ltd tia rawhide, oxford plaza;westrents;23,00
α/β βασιλόπουλος;094025817;8,860
ουτοπία δ. τζανάκης & σια ο.ε;082283077;7,50
europcar;eurocar;67,270
lidl;093683423;6,660
amazon;998770297;0,00750
α/β βασιλόπουλος;094025817;8,680
3ix;3ix;9,320
makro;094241249;17,110
α/β βασιλόπουλος;094025817;6,110
κουμουλας αε βενζιναδικο;999678050;20,00
lovebagsuk;lovebagsu;16,480
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,250
amazon;998770297;4,240
everest;998188904;3,50
α/β βασιλόπουλος;094025817;13,720
σιγά σιγά;sigasiga;16,00
παγκρήτια τράπεζα;096121548;110,00
hetzner online ag;812871812;7,90
μουρτζάκης γεώργιος σιδηρικά;039455439;4,00
lidl;093683423;11,180
α/β βασιλόπουλος;094025817;12,810
α/β βασιλόπουλος;094025817;8,530
κουμουλας αε βενζιναδικο;999678050;20,00
europcar;eurocar;37,810
alex pak;094231385;5,990
costa cafe gatwick;243292864;3,11040
τσιάμπας νικόλαος-ειδικός παθολόγος;106191336;20,00
αταλάντη βασιλάκη-χειρουργος οδοντίατρος;047830127;50,00
χρυσουλάκη ελένη-μικροβιολόγος;078240591;31,20
α/β βασιλόπουλος;094025817;13,650
κουμουλας αε βενζιναδικο;999678050;20,00
cpplus;884252504;59,230
α/β βασιλόπουλος;094025817;7,470
κουμουλας αε βενζιναδικο;999678050;30,00
cosmote;094493766;16,240
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;7,990
α/β βασιλόπουλος;094025817;8,130
amazon;998770297;8,090
μαρνελος-μοτο μοτο;038267535;14,00
πλαισιο;094222211;18,950
lidl;093683423;4,490
κτεο βιστάκης επε;999485761;50,00
εας ηρακλείου σουπερμάρκετ;096000197;15,630
κουμουλας αε βενζιναδικο;999678050;19,00
αφοί παπαδάκη οε-ανταλλακτικά μοτοσυκλετών;082711943;5,170
ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;4,60
lidl;093683423;14,750
κουμουλας αε βενζιναδικο;999678050;20,00
οτε;094019245;49,50
α/β βασιλόπουλος;094025817;6,580
παγκρήτια τράπεζα;096121548;109,240
μινεττα ασφαλιστική;094040925;105,00
hetzner online ag;812871812;7,90
savodor-σαβοιδακης;094103295;9,160
μπορμπαντωνάκη καλλιόπη- η κουζίνα της πόπης;036281073;49,00
creta cinemas-odeon talos;998643653;9,00
cosmote;094493766;17,550
carfourre;999842977;12,00
α/β βασιλόπουλος;094025817;8,870
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;10,350
δεη;090000045;475,570
carfourre;999842977;36,00
α/β βασιλόπουλος;094025817;8,750
αποστολάκης μύρων;066319251;286,010
praktiker;094317955;9,950
α/β βασιλόπουλος;094025817;3,120
α/β βασιλόπουλος;094025817;8,420
savodor-σαβοιδακης;094103295;19,440
lidl;093683423;4,080
κούλα-ταβέρνα-ηράκλειο;κουλαταβε;24,00
chenyayun ebay seller;chenyayun;8,32000310890
anthony spencer ebay seller;anthony81;126,290
haagen dazs ηρακλείου;998089766;10,50
Αποστολάκης Χαράλαμπος;015111741;100,00
α/β βασιλόπουλος;094025817;6,630
makro;094241249;39,360
α/β βασιλόπουλος;094025817;5,280
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,780
παγκρήτια τράπεζα;096121548;108,850
hetzner online ag;812871812;7,90
κουμουλας αε βενζιναδικο;999678050;20,00
κύβος βιβλιοπωλείο;015947962;11,620
χαλκιαδάκης σουπερμάρκετ;094113461;7,20
creta cinemas-odeon talos;998643653;7,00
κουμουλας αε βενζιναδικο;999678050;20,00
ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;3,20
chonghing ebay seller;chonghing;4,950
cyta;998646157;64,340
alex pak;094231385;11,990
multirama;094016869;4,990
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;1,90
α/β βασιλόπουλος;094025817;3,220
draft -καφετέρια;draft;6,80
συνεταιριστική ασφαλιστική αεεγα;094065956;178,50
amazon;998770297;16,020
υπουργείο οικονομικών;υπ.οικον;1,980
υπουργείο οικονομικών;υπ.οικον;0,610
υπουργείο οικονομικών;υπ.οικον;8,990
υπουργείο οικονομικών;υπ.οικον;1,60
υπουργείο οικονομικών;υπ.οικον;0,10
υπουργείο οικονομικών;υπ.οικον;27,510
υπουργείο οικονομικών;υπ.οικον;32,210

